Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
1410       788.90         3.32             -0.50         233.8              2.96
1420       787.93         3.22             -0.57         248.8              3.32
1430       786.97         3.14             -0.61         237.1              3.48
1440       786.00         3.06             -0.64         219.7              3.49
1450       785.04         2.94             -0.69         193.7              3.63
1460       784.07         2.84             -0.73         175.8              3.71
1470       783.11         2.74             -0.76         170.2              3.91
1480       782.15         2.68             -0.77         181.6              3.99
1490       781.19         2.64             -0.78         198.0              4.18
1500       780.23         2.63             -0.79         216.1              4.28
1510       779.27         2.64             -0.84         228.5              4.40
1520       778.31         2.65             -0.91         225.3              4.42
1530       777.35         2.62             -1.07         208.4              4.22
1540       776.39         2.56             -1.23         196.5              4.02
1550       775.44         2.44             -1.43         188.0              3.71
1560       774.48         2.31             -1.60         188.1              3.46
1570       773.53         2.18             -1.74         192.7              3.21
1580       772.58         2.02             -1.90         201.4              3.12
1590       771.63         1.88             -2.00         209.3              3.00
1600       770.68         1.77             -2.05         210.5              3.00
1610       769.73         1.69             -2.08         208.3              3.27
1620       768.78         1.60             -2.10         208.1              3.67
1630       767.83         1.51             -2.12         211.7              4.28
1640       766.88         1.43             -2.12         220.6              5.06
1650       765.93         1.37             -2.12         228.5              5.71
1660       764.99         1.41             -2.09         230.2              5.97
1670       764.04         1.47             -2.09         225.3              6.21
1680       763.10         1.55             -2.13         217.5              6.42
1690       762.16         1.58             -2.36         215.6              6.40
1700       761.22         1.58             -2.69         220.0              6.29
1710       760.28         1.55             -3.16         223.7              6.07
1720       759.34         1.50             -3.63         224.1              5.70
1730       758.40         1.47             -3.99         223.4              5.22
1740       757.46         1.43             -4.39         215.8              4.58
1750       756.53         1.38             -4.81         211.9              4.10
1760       755.59         1.31             -5.20         211.9              4.13
1770       754.66         1.23             -5.52         215.8              4.19
1780       753.73         1.09             -5.97         236.6              4.26
1790       752.79         1.00             -6.32         243.8              4.63
1800       751.86         0.93             -6.68         247.8              4.77
1810       750.93         0.92             -6.93         242.2              4.99
1820       750.00         0.91             -7.14         231.6              5.24
1830       749.08         0.93             -7.27         223.3              5.61
1840       748.15         0.95             -7.43         207.9              5.66
1850       747.23         0.96             -7.83         204.7              5.37
1860       746.30         0.97             -8.44         214.9              5.10
1870       745.38         0.98             -9.06         225.5              4.86
1880       744.46         0.99             -9.71         236.0              4.57
1890       743.53         1.00             -10.40        246.5              4.31
1900       742.61         1.00             -11.12        257.1              4.05
1910       741.69         1.01             -11.88        267.6              3.79
1920       740.78         1.02             -12.68        278.1              3.53
