Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
5690       458.93         -14.39           -23.30        309.7              24.13
5700       458.32         -14.53           -23.56        308.9              24.20
5710       457.72         -14.66           -23.79        309.2              24.26
5720       457.12         -14.79           -23.99        309.8              24.30
5730       456.52         -14.90           -24.17        310.5              24.22
5740       455.92         -14.98           -24.29        310.8              23.98
5750       455.32         -15.06           -24.40        310.3              23.84
5760       454.72         -15.14           -24.48        310.5              23.59
5770       454.12         -15.20           -24.52        310.5              23.42
5780       453.52         -15.27           -24.57        310.5              23.26
5790       452.93         -15.34           -24.61        310.6              23.09
5800       452.33         -15.40           -24.66        310.6              22.92
5810       451.73         -15.47           -24.70        310.6              22.76
5820       451.14         -15.53           -24.74        310.6              22.59
5830       450.54         -15.60           -24.79        310.7              22.43
5840       449.95         -15.69           -24.85        311.9              23.12
5850       449.36         -15.80           -24.91        309.6              23.75
5860       448.76         -15.91           -24.98        307.2              24.37
5870       448.17         -16.02           -25.04        305.6              24.61
5880       447.58         -16.10           -25.08        306.0              24.61
5890       446.99         -16.20           -25.11        307.3              24.98
5900       446.40         -16.31           -25.16        308.6              25.03
5910       445.81         -16.44           -25.20        309.3              25.10
5920       445.22         -16.55           -25.22        309.4              25.27
5930       444.63         -16.62           -25.23        308.6              25.37
5940       444.04         -16.68           -25.23        308.0              25.36
5950       443.45         -16.75           -25.23        307.6              25.63
5960       442.86         -16.81           -25.24        307.8              25.82
5970       442.28         -16.92           -25.29        308.3              26.29
5980       441.69         -17.07           -25.37        310.1              26.59
5990       441.11         -17.27           -25.51        311.9              26.35
6000       440.52         -17.41           -25.59        311.7              26.31
6010       439.94         -17.49           -25.61        311.4              26.21
6020       439.35         -17.52           -25.59        311.0              26.03
6030       438.77         -17.49           -25.51        310.5              26.04
6040       438.19         -17.44           -25.41        310.3              25.91
6050       437.60         -17.39           -25.32        310.7              25.89
6060       437.02         -17.38           -25.27        311.7              25.78
6070       436.44         -17.41           -25.28        312.1              25.26
6080       435.86         -17.51           -25.37        312.9              25.14
6090       435.28         -17.63           -25.49        313.1              25.20
6100       434.70         -17.75           -25.62        312.8              25.17
6110       434.13         -17.83           -25.72        312.1              25.07
6120       433.55         -17.87           -25.79        310.8              24.93
6130       432.97         -17.89           -25.85        309.8              24.98
6140       432.40         -17.90           -25.93        308.5              24.94
6150       431.82         -17.91           -26.05        307.0              24.84
6160       431.25         -17.91           -26.19        306.4              24.79
6170       430.67         -17.93           -26.40        306.6              24.94
6180       430.10         -17.96           -26.57        307.4              24.86
6190       429.53         -17.99           -26.77        308.2              24.57
6200       428.95         -18.04           -26.95        309.8              24.25
6210       428.38         -18.08           -27.26        309.4              24.14
6220       427.81         -18.11           -27.56        307.4              24.12
6230       427.24         -18.14           -27.87        305.3              24.10
6240       426.67         -18.17           -28.19        303.2              24.08
6250       426.11         -18.20           -28.51        301.2              24.06
6260       425.54         -18.27           -28.87        302.5              23.86
6270       424.97         -18.34           -29.17        303.3              23.80
6280       424.40         -18.41           -29.47        303.9              23.77
6290       423.84         -18.47           -29.78        304.7              23.75
6300       423.27         -18.49           -29.93        304.7              23.82
6310       422.71         -18.53           -30.11        304.7              23.70
6320       422.14         -18.61           -30.40        304.7              23.58
6330       421.58         -18.68           -30.64        305.2              23.56
6340       421.02         -18.78           -30.89        305.0              23.52
6350       420.46         -18.87           -31.10        304.8              23.25
6360       419.89         -18.96           -31.31        304.5              23.04
6370       419.33         -19.06           -31.54        305.1              22.61
6380       418.77         -19.19           -31.82        306.4              22.40
6390       418.21         -19.32           -32.11        307.7              22.19
6400       417.65         -19.46           -32.40        308.1              22.02
6410       417.09         -19.52           -32.53        307.7              22.04
6420       416.53         -19.55           -32.61        306.5              22.48
6430       415.98         -19.57           -32.69        306.3              22.65
6440       415.42         -19.59           -32.74        306.9              22.78
6450       414.86         -19.60           -32.75        309.0              23.07
6460       414.31         -19.61           -32.75        310.1              23.19
6470       413.75         -19.65           -32.75        310.8              23.41
6480       413.20         -19.68           -32.75        311.1              23.49
6490       412.64         -19.72           -32.75        310.5              23.67
6500       412.09         -19.83           -32.79        309.2              24.01
6510       411.53         -19.98           -32.88        308.0              24.21
6520       410.98         -20.13           -32.96        306.7              24.41
6530       410.43         -20.28           -33.05        305.4              24.61
6540       409.88         -20.44           -33.13        304.2              24.80
6550       409.33         -20.57           -33.21        303.8              24.93
6560       408.78         -20.65           -33.25        304.5              24.66
6570       408.23         -20.70           -33.26        303.6              24.62
6580       407.68         -20.77           -33.29        304.2              24.79
6590       407.13         -20.84           -33.31        303.7              25.12
6600       406.58         -20.98           -33.39        305.4              25.36
6610       406.03         -21.12           -33.46        306.6              25.59
6620       405.49         -21.24           -33.53        308.3              25.84
6630       404.94         -21.31           -33.58        309.0              26.38
6640       404.40         -21.39           -33.61        308.6              26.84
6650       403.85         -21.46           -33.64        307.8              27.03
6660       403.30         -21.54           -33.62        307.5              26.58
6670       402.76         -21.62           -33.59        307.2              26.13
6680       402.22         -21.70           -33.57        306.9              25.67
6690       401.67         -21.78           -33.55        306.6              25.22
6700       401.13         -21.87           -33.52        306.3              24.77
6710       400.59         -21.95           -33.50        306.0              24.32
6720       400.05         -22.03           -33.48        305.7              23.87
6730       399.50         -22.05           -33.45        306.7              23.59
6740       398.96         -22.08           -33.44        307.5              23.28
6750       398.42         -22.10           -33.43        308.0              23.13
6760       397.89         -22.14           -33.42        308.5              23.13
6770       397.35         -22.22           -33.45        309.6              23.23
6780       396.81         -22.36           -33.53        309.7              23.13
6790       396.27         -22.48           -33.60        309.5              23.11
6800       395.73         -22.64           -33.70        308.9              23.36
6810       395.20         -22.76           -33.78        308.0              23.33
6820       394.66         -22.90           -33.87        307.1              23.51
6830       394.13         -23.01           -33.93        305.9              23.88
6840       393.59         -23.11           -33.98        305.3              24.14
6850       393.06         -23.20           -34.02        305.9              24.34
6860       392.52         -23.26           -34.04        307.0              24.61
6870       391.99         -23.35           -34.06        309.1              24.65
6880       391.45         -23.42           -34.07        310.0              24.97
6890       390.92         -23.47           -34.08        310.8              25.53
6900       390.39         -23.54           -34.11        311.3              25.74
6910       389.86         -23.65           -34.16        311.4              25.70
6920       389.33         -23.82           -34.23        310.6              25.21
6930       388.80         -23.98           -34.31        309.7              24.72
6940       388.27         -24.09           -34.35        309.6              24.27
6950       387.74         -24.15           -34.35        308.3              24.10
6960       387.21         -24.20           -34.34        307.3              24.06
6970       386.68         -24.27           -34.33        306.6              24.04
6980       386.15         -24.29           -34.31        307.1              23.91
6990       385.63         -24.33           -34.28        308.3              23.61
7000       385.10         -24.36           -34.25        309.0              23.60
7010       384.57         -24.40           -34.24        309.9              23.86
7020       384.05         -24.44           -34.23        310.1              24.13
7030       383.52         -24.51           -34.24        310.3              24.28
7040       383.00         -24.55           -34.26        309.7              24.51
7050       382.48         -24.61           -34.30        309.7              24.74
7060       381.95         -24.67           -34.34        310.1              25.15
7070       381.43         -24.73           -34.39        310.8              25.87
7080       380.91         -24.80           -34.46        311.2              26.56
7090       380.39         -24.89           -34.54        311.3              27.10
7100       379.87         -25.00           -34.65        308.5              27.13
7110       379.35         -25.10           -34.75        305.6              27.17
7120       378.83         -25.21           -34.86        302.7              27.20
7130       378.31         -25.32           -34.97        299.8              27.23
7140       377.79         -25.46           -35.10        315.3              27.06
7150       377.27         -25.50           -35.15        314.7              26.69
7160       376.76         -25.55           -35.21        314.2              26.32
7170       376.24         -25.60           -35.26        313.6              25.95
7180       375.72         -25.65           -35.32        313.1              25.59
7190       375.21         -25.69           -35.37        312.5              25.22
7200       374.69         -25.74           -35.43        312.0              24.85
7210       374.18         -25.82           -35.51        310.3              25.16
7220       373.66         -25.89           -35.58        310.8              25.62
7230       373.15         -25.95           -35.64        311.1              25.74
7240       372.64         -26.01           -35.70        311.8              25.66
7250       372.13         -26.04           -35.74        311.0              25.66
7260       371.61         -26.09           -35.80        309.4              25.96
7270       371.10         -26.14           -35.85        307.8              26.26
7280       370.59         -26.18           -35.91        308.2              26.62
7290       370.08         -26.21           -35.95        310.4              27.05
7300       369.57         -26.25           -36.01        311.5              27.72
7310       369.07         -26.29           -36.06        311.5              28.32
7320       368.56         -26.36           -36.15        310.3              28.73
7330       368.05         -26.46           -36.27        310.4              28.97
7340       367.54         -26.58           -36.41        308.9              29.32
7350       367.04         -26.70           -36.56        307.9              29.27
7360       366.53         -26.77           -36.64        307.7              29.00
7370       366.03         -26.84           -36.73        306.5              28.56
7380       365.52         -26.94           -36.85        305.9              27.75
7390       365.02         -27.09           -37.06        305.5              27.38
7400       364.51         -27.25           -37.26        305.1              27.00
7410       364.01         -27.36           -37.41        306.4              26.79
7420       363.51         -27.41           -37.49        307.0              26.55
7430       363.00         -27.46           -37.56        307.7              26.73
7440       362.50         -27.51           -37.64        308.3              27.01
7450       362.00         -27.56           -37.71        308.2              27.29
7460       361.50         -27.60           -37.78        308.1              27.81
7470       361.00         -27.63           -37.84        307.6              28.01
7480       360.50         -27.66           -37.89        306.7              28.42
7490       360.00         -27.68           -37.94        305.7              28.45
7500       359.50         -27.72           -37.99        304.7              28.22
7510       359.01         -27.78           -38.07        303.7              27.98
7520       358.51         -27.87           -38.17        303.7              27.88
7530       358.01         -27.97           -38.28        304.8              27.79
7540       357.52         -28.08           -38.40        305.6              27.81
7550       357.02         -28.17           -38.50        306.7              27.42
7560       356.52         -28.27           -38.60        308.3              26.89
7570       356.03         -28.36           -38.70        308.7              26.83
7580       355.54         -28.48           -38.82        309.8              26.69
7590       355.04         -28.58           -38.92        310.2              26.46
7600       354.55         -28.65           -39.01        309.7              26.51
7610       354.06         -28.71           -39.07        308.8              26.59
7620       353.56         -28.73           -39.10        307.4              26.79
7630       353.07         -28.73           -39.11        305.9              26.83
7640       352.58         -28.72           -39.12        304.3              26.76
7650       352.09         -28.71           -39.12        303.1              27.03
7660       351.60         -28.72           -39.13        302.0              27.30
7670       351.11         -28.73           -39.16        301.1              27.31
7680       350.62         -28.78           -39.22        298.7              27.38
7690       350.14         -28.90           -39.33        299.2              27.28
7700       349.65         -29.02           -39.44        299.7              27.28
7710       349.16         -29.13           -39.55        300.2              27.39
7720       348.68         -29.25           -39.67        300.7              27.38
7730       348.19         -29.36           -39.78        301.3              27.38
7740       347.70         -29.48           -39.89        301.8              27.37
7750       347.22         -29.60           -40.00        302.3              27.37
7760       346.74         -29.71           -40.12        302.8              27.36
7770       346.25         -29.84           -40.24        302.8              27.63
7780       345.77         -29.94           -40.33        303.2              28.16
7790       345.29         -30.02           -40.40        303.0              28.52
7800       344.80         -30.11           -40.49        302.7              28.84
7810       344.32         -30.20           -40.57        303.2              28.78
7820       343.84         -30.28           -40.64        303.3              28.99
7830       343.36         -30.38           -40.72        303.1              29.11
7840       342.88         -30.42           -40.77        303.2              29.18
7850       342.40         -30.51           -40.84        303.6              29.14
7860       341.92         -30.61           -40.93        304.0              29.18
7870       341.44         -30.73           -41.04        304.6              29.18
7880       340.96         -30.88           -41.17        305.9              29.07
7890       340.49         -31.02           -41.29        307.0              29.09
7900       340.01         -31.12           -41.39        307.5              29.01
7910       339.53         -31.22           -41.47        307.9              29.39
7920       339.05         -31.30           -41.53        305.9              29.08
7930       338.58         -31.36           -41.57        304.6              28.88
7940       338.10         -31.41           -41.61        303.5              28.57
7950       337.63         -31.48           -41.66        303.5              28.23
7960       337.15         -31.60           -41.76        303.6              27.90
7970       336.68         -31.72           -41.85        304.4              27.81
7980       336.20         -31.83           -41.94        305.0              27.69
7990       335.73         -31.95           -42.04        304.8              27.45
8000       335.26         -32.08           -42.15        304.3              27.37
8010       334.78         -32.21           -42.25        304.6              27.16
8020       334.31         -32.33           -42.35        304.7              27.24
8030       333.84         -32.44           -42.44        304.9              27.16
8040       333.37         -32.53           -42.50        304.8              27.04
8050       332.90         -32.58           -42.53        304.6              27.18
8060       332.43         -32.62           -42.54        304.6              27.11
8070       331.96         -32.63           -42.54        304.1              26.99
8080       331.49         -32.64           -42.54        303.7              26.86
8090       331.02         -32.72           -42.59        304.0              27.04
8100       330.55         -32.82           -42.67        304.5              26.91
8110       330.09         -32.92           -42.75        305.1              26.83
8120       329.62         -33.06           -42.86        305.3              27.26
8130       329.15         -33.21           -42.99        305.6              27.89
8140       328.69         -33.37           -43.11        305.8              28.52
8150       328.22         -33.52           -43.23        306.1              29.14
8160       327.76         -33.67           -43.36        306.4              29.77
8170       327.29         -33.76           -43.43        305.8              30.27
8180       326.83         -33.81           -43.47        305.2              30.18
8190       326.36         -33.87           -43.52        305.9              29.71
8200       325.90         -33.98           -43.61        306.6              29.07
8210       325.44         -34.10           -43.71        307.1              28.43
8220       324.98         -34.20           -43.79        307.7              27.77
8230       324.51         -34.25           -43.83        307.4              27.15
8240       324.05         -34.30           -43.87        306.4              26.67
8250       323.59         -34.37           -43.92        305.6              26.42
8260       323.13         -34.45           -43.99        304.9              26.54
8270       322.67         -34.52           -44.05        303.9              26.82
8280       322.21         -34.56           -44.07        303.0              26.80
8290       321.76         -34.57           -44.08        302.2              27.05
8300       321.30         -34.58           -44.09        300.6              27.56
8310       320.84         -34.60           -44.11        299.3              27.89
8320       320.38         -34.62           -44.13        298.3              28.28
8330       319.93         -34.76           -44.27        300.7              28.57
8340       319.47         -34.89           -44.40        303.1              28.86
8350       319.02         -35.03           -44.53        305.5              29.15
8360       318.56         -35.09           -44.60        302.7              29.10
8370       318.11         -35.15           -44.67        302.4              28.83
8380       317.65         -35.24           -44.76        301.6              28.86
8390       317.20         -35.32           -44.84        300.9              28.90
8400       316.75         -35.41           -44.94        300.8              28.97
8410       316.29         -35.51           -45.03        299.0              28.42
8420       315.84         -35.59           -45.12        298.6              28.17
8430       315.39         -35.70           -45.24        297.8              27.94
8440       314.94         -35.80           -45.35        298.4              27.82
8450       314.49         -35.88           -45.46        300.3              27.67
8460       314.04         -35.95           -45.54        301.2              27.52
8470       313.59         -35.98           -45.59        299.9              27.99
8480       313.14         -36.03           -45.65        298.1              28.21
8490       312.69         -36.08           -45.72        295.8              28.46
8500       312.24         -36.16           -45.81        294.0              28.45
8510       311.79         -36.25           -45.91        293.2              28.86
8520       311.35         -36.34           -46.02        295.7              29.08
8530       310.90         -36.43           -46.14        298.3              29.28
8540       310.45         -36.52           -46.25        300.8              29.49
8550       310.01         -36.57           -46.31        299.1              29.72
8560       309.56         -36.62           -46.38        298.2              29.49
8570       309.12         -36.66           -46.45        297.8              29.18
8580       308.67         -36.72           -46.53        298.0              28.98
8590       308.23         -36.76           -46.58        298.6              28.95
8600       307.79         -36.82           -46.66        298.4              28.58
8610       307.35         -36.89           -46.74        298.3              28.63
8620       306.90         -36.98           -46.85        297.3              28.76
8630       306.46         -37.09           -46.97        297.2              29.19
8640       306.02         -37.19           -47.10        296.4              29.38
8650       305.58         -37.30           -47.23        296.1              29.70
8660       305.14         -37.41           -47.37        296.1              30.31
8670       304.70         -37.43           -47.41        296.3              31.07
8680       304.26         -37.46           -47.47        296.0              31.73
8690       303.82         -37.48           -47.52        294.8              32.36
8700       303.39         -37.50           -47.56        293.7              32.99
8710       302.95         -37.55           -47.63        292.8              33.40
8720       302.51         -37.64           -47.74        293.5              32.64
8730       302.07         -37.73           -47.86        294.2              31.88
8740       301.64         -37.82           -47.97        294.9              31.12
8750       301.20         -37.91           -48.09        295.6              30.36
8760       300.77         -38.00           -48.20        296.2              29.60
8770       300.33         -38.10           -48.32        296.9              28.84
8780       299.90         -38.18           -48.42        297.3              28.06
8790       299.47         -38.23           -48.48        296.4              27.62
8800       299.03         -38.29           -48.55        296.8              27.57
8810       298.60         -38.37           -48.65        295.4              27.44
8820       298.17         -38.48           -48.77        295.3              27.52
8830       297.74         -38.58           -48.90        295.1              27.55
8840       297.31         -38.68           -49.02        295.0              27.58
8850       296.88         -38.78           -49.15        294.8              27.61
8860       296.45         -38.89           -49.28        294.6              27.64
8870       296.02         -38.99           -49.40        294.5              27.68
8880       295.59         -39.09           -49.53        294.3              27.71
8890       295.16         -39.15           -49.61        296.6              27.92
8900       294.73         -39.22           -49.69        298.1              28.36
8910       294.30         -39.26           -49.73        298.8              28.54
8920       293.87         -39.37           -49.86        298.4              28.62
8930       293.45         -39.50           -50.01        298.5              28.59
8940       293.02         -39.64           -50.18        297.4              28.67
8950       292.59         -39.76           -50.31        297.2              28.84
8960       292.17         -39.84           -50.41        297.2              28.87
8970       291.74         -39.90           -50.48        297.3              28.81
8980       291.32         -39.98           -50.59        297.8              28.82
8990       290.89         -40.06           -50.68        298.1              28.80
9000       290.47         -40.11           -50.75        298.6              28.78
9010       290.05         -40.20           -50.85        298.4              28.93
9020       289.62         -40.33           -50.99        298.8              29.00
9030       289.20         -40.48           -51.15        299.5              29.10
9040       288.78         -40.60           -51.27        299.6              29.08
9050       288.36         -40.65           -51.33        299.6              29.08
9060       287.94         -40.69           -51.39        299.8              29.19
9070       287.52         -40.71           -51.42        299.9              29.20
9080       287.10         -40.71           -51.44        299.8              29.21
9090       286.68         -40.70           -51.44        299.8              29.40
9100       286.26         -40.69           -51.44        299.8              29.55
9110       285.84         -40.67           -51.44        299.1              29.49
9120       285.42         -40.64           -51.44        298.4              29.43
9130       285.00         -40.69           -51.50        298.1              29.47
9140       284.58         -40.87           -51.67        298.2              29.53
9150       284.17         -40.99           -51.78        298.4              29.47
9160       283.75         -41.12           -51.91        298.2              29.72
9170       283.34         -41.29           -52.07        297.7              29.99
9180       282.92         -41.45           -52.23        296.9              30.20
9190       282.51         -41.59           -52.37        295.5              30.46
9200       282.09         -41.67           -52.46        294.7              30.48
9210       281.68         -41.72           -52.51        294.3              30.68
9220       281.26         -41.82           -52.61        294.3              30.86
9230       280.85         -41.93           -52.72        294.2              30.99
9240       280.44         -42.07           -52.87        295.4              31.04
9250       280.03         -42.19           -52.98        296.2              31.00
9260       279.61         -42.27           -53.06        298.2              31.01
9270       279.20         -42.40           -53.19        300.2              31.08
9280       278.79         -42.53           -53.32        300.4              31.14
9290       278.38         -42.68           -53.46        300.3              31.27
9300       277.97         -42.77           -53.55        299.8              31.40
9310       277.56         -42.86           -53.64        298.5              31.32
9320       277.15         -42.95           -53.74        297.7              31.06
9330       276.74         -43.03           -53.82        296.4              30.97
9340       276.33         -43.10           -53.90        296.0              30.86
9350       275.93         -43.17           -53.98        295.7              30.62
9360       275.52         -43.24           -54.05        295.5              30.50
9370       275.11         -43.30           -54.12        295.4              30.45
9380       274.71         -43.40           -54.23        295.5              30.33
9390       274.30         -43.49           -54.32        295.6              30.34
9400       273.89         -43.58           -54.41        296.6              30.34
9410       273.49         -43.62           -54.45        297.5              30.40
9420       273.08         -43.70           -54.54        298.2              30.52
9430       272.68         -43.81           -54.65        299.1              30.58
9440       272.28         -43.99           -54.82        300.0              30.66
9450       271.87         -44.14           -54.98        301.1              30.85
9460       271.47         -44.25           -55.08        301.6              30.56
9470       271.07         -44.32           -55.15        304.7              30.75
9480       270.66         -44.38           -55.22        303.6              30.79
9490       270.26         -44.44           -55.28        302.1              30.82
9500       269.86         -44.50           -55.35        300.7              30.85
9510       269.46         -44.53           -55.39        299.2              30.87
9520       269.06         -44.55           -55.40        299.1              31.06
9530       268.66         -44.57           -55.42        298.1              31.58
9540       268.26         -44.62           -55.48        298.3              31.22
9550       267.86         -44.67           -55.53        298.5              30.85
9560       267.46         -44.72           -55.58        298.7              30.49
9570       267.07         -44.77           -55.63        298.8              30.13
9580       266.67         -44.83           -55.68        299.0              29.76
9590       266.27         -44.88           -55.74        299.2              29.40
9600       265.88         -44.93           -55.79        299.4              29.04
9610       265.48         -44.98           -55.83        300.0              28.39
9620       265.09         -45.02           -55.87        300.8              27.86
9630       264.69         -45.08           -55.93        301.4              28.23
9640       264.30         -45.17           -56.02        302.2              28.68
9650       263.90         -45.28           -56.13        303.1              29.16
9660       263.51         -45.40           -56.24        304.0              29.65
9670       263.12         -45.47           -56.31        301.7              30.72
9680       262.72         -45.53           -56.37        299.3              30.79
9690       262.33         -45.63           -56.46        300.7              30.69
9700       261.94         -45.73           -56.55        302.1              30.59
9710       261.55         -45.83           -56.64        303.6              30.50
9720       261.16         -45.93           -56.73        305.0              30.40
9730       260.77         -46.02           -56.82        306.5              30.30
9740       260.38         -46.12           -56.91        307.9              30.21
9750       259.99         -46.22           -57.00        309.3              30.11
9760       259.60         -46.29           -57.07        309.1              30.71
9770       259.21         -46.34           -57.11        306.6              32.31
9780       258.82         -46.43           -57.19        306.7              32.38
9790       258.44         -46.51           -57.27        306.8              32.45
9800       258.05         -46.59           -57.35        306.8              32.53
9810       257.66         -46.68           -57.43        306.9              32.60
9820       257.27         -46.76           -57.51        307.0              32.67
9830       256.89         -46.84           -57.59        307.1              32.74
9840       256.50         -46.93           -57.67        307.2              32.81
9850       256.12         -47.01           -57.75        307.3              32.88
9860       255.73         -47.10           -57.82        307.4              32.96
9870       255.35         -47.18           -57.90        307.5              33.03
9880       254.97         -47.26           -57.98        307.6              33.10
9890       254.58         -47.42           -58.12        307.4              33.02
9900       254.20         -47.57           -58.26        307.2              32.93
9910       253.82         -47.72           -58.41        306.9              32.84
9920       253.43         -47.88           -58.55        306.7              32.76
9930       253.05         -47.97           -58.63        306.0              32.53
9940       252.67         -48.01           -58.68        304.0              32.73
9950       252.29         -48.03           -58.70        303.6              33.13
9960       251.91         -48.06           -58.73        303.1              33.40
9970       251.53         -48.07           -58.74        303.2              33.39
9980       251.15         -48.07           -58.74        303.2              33.34
9990       250.77         -48.07           -58.74        303.8              33.27
10000      250.39         -48.07           -58.74        303.5              33.16
10010      250.02         -48.07           -58.74        302.8              32.91
10020      249.64         -48.07           -58.74        301.8              32.65
10030      249.26         -48.07           -58.74        301.4              32.42
10040      248.89         -48.07           -58.74        301.0              32.29
10050      248.51         -48.07           -58.74        300.9              32.12
10060      248.14         -48.08           -58.74        300.8              32.00
10070      247.76         -48.08           -58.74        301.6              32.19
10080      247.39         -48.08           -58.74        302.2              32.46
10090      247.02         -48.08           -58.74        302.3              32.77
10100      246.65         -48.08           -58.74        302.5              33.00
10110      246.27         -48.08           -58.74        302.5              33.27
10120      245.90         -48.08           -58.75        302.6              33.51
10130      245.53         -48.08           -58.75        302.7              33.82
10140      245.16         -48.08           -58.76        302.7              34.09
10150      244.79         -48.08           -58.76        302.8              34.35
10160      244.42         -48.08           -58.77        302.9              34.61
10170      244.05         -48.08           -58.77        302.9              34.87
10180      243.69         -48.08           -58.78        303.0              35.13
10190      243.32         -48.08           -58.78        303.2              35.41
10200      242.95         -48.08           -58.79        303.2              35.77
10210      242.59         -48.08           -58.79        303.1              36.01
10220      242.22         -48.09           -58.80        303.1              36.38
10230      241.86         -48.09           -58.80        303.3              36.53
10240      241.49         -48.09           -58.81        304.3              36.57
10250      241.13         -48.09           -58.82        305.2              36.67
10260      240.76         -48.09           -58.82        306.0              36.66
10270      240.40         -48.09           -58.83        306.9              36.72
10280      240.04         -48.09           -58.83        307.0              36.63
10290      239.68         -48.09           -58.84        306.4              36.76
10300      239.31         -48.09           -58.86        304.4              36.67
10310      238.95         -48.09           -58.87        302.4              36.58
10320      238.59         -48.09           -58.88        300.0              36.87
10330      238.23         -48.09           -58.89        302.1              37.20
10340      237.88         -48.09           -58.91        302.3              37.38
10350      237.52         -48.09           -58.92        302.5              37.57
10360      237.16         -48.09           -58.94        302.7              37.75
10370      236.80         -48.09           -58.96        302.8              37.93
10380      236.44         -48.09           -58.96        303.8              38.08
10390      236.09         -48.10           -58.97        304.1              37.72
10400      235.73         -48.10           -58.98        305.0              37.55
10410      235.38         -48.10           -58.99        305.5              37.40
10420      235.02         -48.10           -59.00        305.4              37.38
10430      234.67         -48.10           -59.02        304.7              37.22
10440      234.31         -48.10           -59.03        304.1              37.42
10450      233.96         -48.10           -59.05        304.2              37.42
10460      233.61         -48.10           -59.06        303.6              37.34
10470      233.26         -48.10           -59.06        303.0              37.45
10480      232.90         -48.10           -59.07        302.8              37.50
10490      232.55         -48.10           -59.08        302.5              37.52
10500      232.20         -48.10           -59.08        301.9              37.83
10510      231.85         -48.10           -59.08        302.0              37.80
10520      231.50         -48.10           -59.09        302.8              38.06
10530      231.15         -48.10           -59.10        303.7              38.27
10540      230.81         -48.10           -59.11        304.4              37.99
10550      230.46         -48.10           -59.11        304.4              38.06
10560      230.11         -48.10           -59.12        304.5              38.38
10570      229.76         -48.11           -59.12        304.4              38.36
10580      229.42         -48.11           -59.13        304.3              38.18
10590      229.07         -48.11           -59.14        303.7              38.05
10600      228.73         -48.11           -59.14        302.9              38.21
10610      228.38         -48.11           -59.15        302.1              38.39
10620      228.04         -48.11           -59.16        301.3              38.44
10630      227.69         -48.11           -59.17        301.0              38.66
10640      227.35         -48.11           -59.18        301.3              38.88
10650      227.01         -48.11           -59.20        301.5              39.11
10660      226.66         -48.11           -59.21        301.7              39.35
10670      226.32         -48.11           -59.23        302.0              39.58
10680      225.98         -48.11           -59.24        302.2              39.81
10690      225.64         -48.11           -59.26        302.5              40.04
10700      225.30         -48.11           -59.27        302.6              40.11
10710      224.96         -48.11           -59.28        302.5              39.83
10720      224.62         -48.11           -59.29        302.6              39.65
10730      224.28         -48.11           -59.29        302.7              39.68
10740      223.95         -48.11           -59.31        302.5              39.74
10750      223.61         -48.12           -59.32        302.3              39.50
10760      223.27         -48.12           -59.33        301.6              39.52
10770      222.93         -48.12           -59.34        301.2              39.62
10780      222.60         -48.12           -59.35        301.0              39.80
10790      222.26         -48.12           -59.36        301.3              39.96
10800      221.93         -48.12           -59.38        301.8              40.10
10810      221.59         -48.12           -59.39        302.3              40.33
10820      221.26         -48.12           -59.39        303.1              40.50
10830      220.93         -48.12           -59.40        303.4              40.62
10840      220.59         -48.12           -59.40        303.8              40.61
10850      220.26         -48.12           -59.40        304.0              40.71
10860      219.93         -48.12           -59.41        303.9              40.58
10870      219.60         -48.12           -59.41        304.2              40.51
10880      219.27         -48.12           -59.42        303.8              40.43
10890      218.94         -48.12           -59.43        303.8              40.18
10900      218.61         -48.12           -59.43        303.5              40.03
10910      218.28         -48.12           -59.44        303.5              39.94
10920      217.95         -48.12           -59.44        303.5              39.75
10930      217.62         -48.13           -59.44        303.6              39.73
10940      217.29         -48.13           -59.44        303.8              39.77
10950      216.96         -48.13           -59.44        304.0              39.72
10960      216.64         -48.13           -59.44        304.5              39.78
10970      216.31         -48.13           -59.44        304.1              39.79
10980      215.98         -48.13           -59.44        304.0              39.75
10990      215.66         -48.13           -59.44        303.4              39.66
11000      215.33         -48.13           -59.45        301.9              39.32
11010      215.01         -48.13           -59.46        302.4              38.75
11020      214.68         -48.13           -59.46        302.8              38.19
11030      214.36         -48.13           -59.47        303.3              37.62
11040      214.04         -48.13           -59.48        303.7              37.06
11050      213.71         -48.13           -59.49        304.2              36.54
11060      213.39         -48.13           -59.48        302.1              37.31
11070      213.07         -48.13           -59.47        301.7              37.44
11080      212.75         -48.13           -59.47        301.3              37.56
11090      212.43         -48.13           -59.46        300.8              37.68
11100      212.11         -48.13           -59.46        300.2              37.81
11110      211.79         -48.13           -59.47        300.0              37.84
